역번호,역명,구분,카이제곱통계량,P값,자유도,지하철 기대 빈도,버스 기대 빈도,동일 여부
206,신당,하차,0.038043262511411186,1.0,19,"[0.01063156 0.01837855 0.03432782 0.06437694 0.05310197 0.05059136
 0.0499276  0.05142066 0.05402626 0.05486937 0.05913889 0.064917
 0.07410365 0.09328092 0.07263922 0.05836454 0.04826501 0.04296464
 0.02968961 0.01498443]","[0.01038697 0.01795573 0.03353807 0.06289587 0.0518803  0.04942744
 0.04877896 0.05023767 0.05278332 0.05360704 0.05777833 0.06342351
 0.07239881 0.09113488 0.07096806 0.05702179 0.04715462 0.04197619
 0.02900656 0.01463969]",동일
207,상왕십리,승차,0.05241529902591108,1.0,19,"[0.01628515 0.02652608 0.06697079 0.10529465 0.07454913 0.06520858
 0.05320289 0.05284868 0.05161048 0.05022746 0.05226814 0.05501678
 0.06528912 0.07138477 0.0573157  0.04287775 0.03730853 0.03127391
 0.01800011 0.00654129]","[0.01604823 0.02614017 0.06599648 0.10376278 0.07346456 0.06425991
 0.05242887 0.05207981 0.05085963 0.04949673 0.05150773 0.05421638
 0.06433927 0.07034624 0.05648185 0.04225395 0.03676576 0.03081893
 0.01773823 0.00644612]",동일
207,상왕십리,하차,0.08477821233414161,1.0,19,"[0.01149656 0.01781945 0.03969153 0.07564886 0.05278044 0.04745615
 0.04148214 0.04368123 0.04556563 0.04752902 0.05328959 0.06068212
 0.07534056 0.10020749 0.07643244 0.06269304 0.05408595 0.04806537
 0.03077328 0.01527914]","[0.01129527 0.01750744 0.03899656 0.0743243  0.05185629 0.04662523
 0.04075582 0.0429164  0.04476781 0.04669682 0.05235653 0.05961963
 0.0740214  0.09845293 0.07509416 0.06159533 0.05313895 0.04722378
 0.03023446 0.01501161]",동일
208,왕십리(성동구청),승차,0.006825706347256263,1.0,19,"[0.0166039  0.01656355 0.04318777 0.07117869 0.05597639 0.04893216
 0.04544962 0.04765918 0.05010246 0.05146396 0.0564649  0.06534387
 0.06966183 0.07679077 0.05798879 0.05360881 0.05721049 0.05789989
 0.03672848 0.0211845 ]","[0.01601896 0.01598003 0.04166631 0.06867114 0.05400441 0.04720834
 0.04384848 0.0459802  0.0483374  0.04965094 0.05447571 0.06304188
 0.06720773 0.07408552 0.05594591 0.05172023 0.05519503 0.05586015
 0.03543458 0.0204382 ]",동일
208,왕십리(성동구청),하차,0.07607414972797241,1.0,19,"[0.01485724 0.0194438  0.03446439 0.06299386 0.05002391 0.04741312
 0.04550802 0.04832156 0.05313494 0.05444786 0.05875238 0.06714249
 0.08035235 0.10592311 0.07215853 0.05772154 0.04573388 0.03927361
 0.02700604 0.01532739]","[0.01445623 0.01891899 0.03353416 0.06129359 0.04867371 0.04613339
 0.04427971 0.04701731 0.05170077 0.05297825 0.05716659 0.06533024
 0.07818355 0.10306413 0.07021089 0.05616357 0.04449947 0.03821358
 0.02627711 0.01491369]",동일
209,한양대,승차,0.0824615403932988,1.0,19,"[0.00715105 0.01391693 0.02712411 0.04208714 0.03459468 0.03084244
 0.03805665 0.04493194 0.05123291 0.05856297 0.07086083 0.08955857
 0.10838475 0.10339017 0.07188503 0.06009889 0.05406333 0.04675166
 0.03385191 0.01265401]","[0.00705819 0.0137362  0.02677186 0.04154057 0.03414542 0.0304419
 0.03756242 0.04434843 0.05056757 0.05780244 0.06994058 0.08839551
 0.10697719 0.10204748 0.07095148 0.05931841 0.05336123 0.04614452
 0.03341229 0.01248968]",동일
209,한양대,하차,0.13006398663918045,1.0,19,"[0.01211533 0.02645089 0.04545692 0.12180164 0.10474246 0.09776438
 0.06004467 0.07355256 0.06258306 0.05583591 0.04683704 0.04532592
 0.055338   0.06457363 0.03837853 0.02778124 0.02309733 0.02024379
 0.0122282  0.00584848]","[0.01190978 0.02600213 0.04468569 0.11973514 0.10296539 0.0961057
 0.05902595 0.07230466 0.06152127 0.05488859 0.0460424  0.04455692
 0.05439913 0.06347807 0.0377274  0.0273099  0.02270546 0.01990034
 0.01202074 0.00574925]",동일
210,뚝섬,승차,0.03257856304410296,1.0,19,"[0.00805155 0.01212185 0.02441428 0.03608067 0.03206574 0.02827946
 0.02902756 0.03406683 0.04083954 0.0483866  0.05970087 0.07292732
 0.09495206 0.14214841 0.09528626 0.08336279 0.06653035 0.05101483
 0.02731499 0.01342805]","[0.00787782 0.0118603  0.0238875  0.03530216 0.03137386 0.02766928
 0.02840124 0.03333177 0.03995835 0.04734257 0.05841271 0.07135378
 0.09290329 0.13908129 0.09323028 0.08156408 0.06509483 0.04991409
 0.02672561 0.01313831]",동일
210,뚝섬,하차,0.06547019010436084,1.0,19,"[0.01242418 0.02656496 0.04847261 0.11969277 0.09409773 0.07569267
 0.06270441 0.05558701 0.05647534 0.05430141 0.05604228 0.05830701
 0.06381062 0.06931478 0.04777805 0.03368822 0.02512673 0.02079716
 0.01189234 0.00722971]","[0.01205362 0.02577266 0.04702692 0.11612293 0.09129126 0.07343514
 0.06083425 0.05392913 0.05479096 0.05268187 0.05437082 0.056568
 0.06190746 0.06724747 0.04635307 0.03268346 0.02437733 0.02017688
 0.01153765 0.00701409]",동일
211,성수,승차,0.2494285364367107,0.999999999999998,19,"[0.01749705 0.02130601 0.04047759 0.05603073 0.04412135 0.03429772
 0.03176939 0.03535583 0.039907   0.04398278 0.05110421 0.06084736
 0.08668695 0.13232258 0.08379364 0.07795448 0.0592022  0.04465998
 0.02549475 0.01318842]","[0.01706915 0.02078496 0.03948771 0.05466049 0.04304236 0.03345897
 0.03099246 0.0344912  0.03893107 0.04290718 0.04985444 0.05935933
 0.08456701 0.12908661 0.08174445 0.07604809 0.0577544  0.04356782
 0.02487127 0.01286589]",동일
