역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,하차,68,53,112,840,3400,1102,937,871,900,779,701,636,689,709,412,254,249,213,132,52,236,209,179,139
202,을지로입구,하차,98,180,289,1292,6319,2747,2200,1922,1888,1664,1630,1642,1790,1914,1272,822,739,598,305,124,92,79,74,55
203,을지로3가,하차,63,90,115,814,3179,1187,906,826,882,768,743,773,831,932,681,403,363,312,190,67,35,32,32,16
204,을지로4가,하차,44,46,64,598,1670,962,866,753,722,672,595,547,540,566,375,251,239,227,141,63,129,109,88,62
205,동대문역사문화공원(DDP),하차,49,75,130,410,1068,995,949,875,860,851,814,804,882,953,1004,751,604,505,306,132,106,94,80,45
206,신당,하차,36,40,86,377,723,619,629,626,659,678,738,805,886,1020,1310,794,684,653,351,143,165,176,158,80
207,상왕십리,하차,21,55,70,258,581,456,419,471,463,532,595,636,784,951,1365,879,812,742,411,168,37,27,24,15
208,왕십리(성동구청),하차,35,49,70,301,646,507,503,533,548,576,630,662,770,892,1192,724,643,610,369,186,14,9,6,4
209,한양대,하차,15,33,32,275,585,1283,701,727,609,474,462,360,335,367,292,211,185,176,114,52,5,4,3,2
210,뚝섬,하차,92,76,119,701,1938,1574,1043,967,1013,909,933,970,1067,1162,973,510,432,389,243,101,13,12,10,8
211,성수,하차,151,159,192,1378,3474,2748,1793,1740,1801,1696,1668,1668,1830,2032,1470,718,581,498,318,209,75,73,67,45
212,건대입구,하차,64,135,161,598,1097,1476,1446,1493,1542,1572,1757,2015,2460,2627,3448,2044,1879,1690,927,428,117,110,85,57
213,구의(광진구청),하차,57,94,98,852,755,715,682,708,744,794,916,1044,1292,1517,2211,1662,1540,1440,754,310,115,123,94,69
214,강변(동서울터미널),하차,65,244,291,834,939,1070,989,1086,1144,1273,1497,1599,1890,2079,2652,1768,1553,1426,668,227,62,71,53,68
215,잠실나루,하차,73,85,137,640,1053,794,671,783,704,736,718,713,773,819,1113,721,688,641,324,122,45,41,35,25
216,잠실(송파구청),하차,176,308,506,1392,3549,3766,3529,3232,3204,3150,3454,3893,4442,4756,5837,3494,3238,2908,1388,361,136,187,136,122
217,잠실새내,하차,28,74,88,366,743,838,857,902,986,1054,1158,1246,1453,1783,2245,1305,1164,1095,530,204,15,19,12,7
218,종합운동장,하차,27,92,71,360,459,352,250,313,286,332,349,402,575,906,672,409,404,376,192,77,14,16,14,7
219,삼성(무역센터),하차,220,278,404,1848,6824,3916,2480,2182,2330,1977,1778,1686,1892,1949,1222,635,521,394,212,127,80,77,76,63
220,선릉,하차,265,182,301,1915,5854,4465,2484,2108,2422,2030,1814,1748,1884,1904,1406,797,672,598,343,177,54,62,71,57
221,역삼,하차,247,146,371,1910,7396,5722,2647,2207,2391,1878,1696,1549,1687,1684,1425,795,647,553,308,133,161,169,167,107
222,강남,하차,455,250,478,2390,7304,5754,3524,3054,3529,3100,3060,3206,3465,3683,3721,1808,1466,1206,644,254,119,107,101,78
223,교대(법원.검찰청),하차,272,162,304,1049,2688,2799,2277,1952,2033,1832,1759,1752,1839,1901,1658,927,810,745,365,136,49,42,41,33
224,서초,하차,157,94,178,850,2352,1759,1025,855,899,770,718,735,750,795,748,414,381,364,182,59,39,29,32,42
225,방배,하차,100,60,124,526,1247,954,767,748,726,742,744,759,854,907,1045,640,587,578,302,111,26,24,18,15
226,사당,하차,153,316,243,1193,1863,1465,1705,1500,1551,1539,1714,1711,2140,2717,4340,2537,2242,2059,1152,424,52,48,36,34
227,낙성대(강감찬),하차,77,91,116,396,932,872,760,811,822,870,993,1044,1283,1521,2304,2097,1868,1863,1042,382,43,32,23,15
228,서울대입구(관악구청),하차,89,123,198,567,1279,1834,1546,1590,1658,1678,1841,2038,2314,2608,3903,3239,2859,2801,1565,644,92,62,46,31
229,봉천,하차,51,84,77,262,548,639,724,684,748,819,920,1009,1330,1530,2156,1760,1558,1478,822,312,73,53,43,19
230,신림,하차,131,216,242,632,1140,1278,1374,1380,1538,1712,1904,2341,2706,3232,4759,4570,4114,3824,2238,851,211,171,145,91
231,신대방,하차,63,96,130,369,647,572,609,645,676,797,953,1018,1468,1630,2397,2082,2030,1949,988,365,60,63,62,49
232,구로디지털단지,하차,176,150,245,813,3966,2332,1532,1586,1630,1668,1962,1998,2301,2764,4080,3129,2934,2825,1487,540,36,50,44,62
233,대림(구로구청),하차,114,94,140,416,996,1000,1039,998,1036,1027,1133,1248,1467,1696,2003,1386,1644,1460,688,229,7,11,9,7
234,신도림,하차,159,158,214,796,1917,1902,1806,1796,1902,1850,2080,2116,2357,2850,4230,2735,2501,2368,1542,780,27,27,23,28
235,문래,하차,79,72,111,451,1757,880,723,768,758,724,783,799,875,993,1435,836,721,634,346,130,87,76,75,46
236,영등포구청,하차,118,78,140,586,1828,929,816,801,840,799,856,873,909,1024,1414,833,741,651,395,172,0,0,0,0
237,당산,하차,115,76,142,532,1318,666,574,611,584,643,735,792,902,1172,1855,1226,1196,1035,614,185,56,39,43,26
238,합정,하차,100,82,145,580,1462,1716,1377,1330,1462,1382,1437,1587,1827,1954,2605,1410,1138,990,635,274,113,91,75,45
239,홍대입구,하차,121,192,222,685,1834,3310,3256,3340,3644,3449,3696,4054,4802,5101,5410,2936,2300,1873,1213,536,148,138,109,72
240,신촌,하차,100,85,164,666,1745,2406,2081,2116,2186,1950,1817,1938,2104,2189,2682,1442,1260,1062,683,255,136,126,99,64
