역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,승차,31,27,49,105,237,392,535,691,903,965,1191,1376,1605,2035,2496,1912,1801,1058,387,54,332,258,202,105
202,을지로입구,승차,89,39,126,182,487,834,1062,1237,1556,1702,2147,2384,2792,3421,4970,4128,3110,2263,873,136,143,109,89,42
203,을지로3가,승차,35,22,71,115,290,522,655,704,832,888,1027,1197,1329,1643,2363,1644,1707,1318,654,116,79,64,48,20
204,을지로4가,승차,30,23,48,99,263,446,504,564,656,725,804,890,980,1328,1195,672,570,373,170,37,126,109,88,43
205,동대문역사문화공원(DDP),승차,217,38,221,205,342,500,572,590,665,778,871,999,1244,1503,1046,774,792,599,316,94,215,175,168,133
206,신당,승차,222,66,243,513,1107,658,591,665,618,656,687,722,779,910,815,612,556,456,217,48,195,191,204,144
207,상왕십리,승차,213,76,241,620,1463,764,621,654,600,556,600,615,658,753,709,445,381,256,94,20,27,19,18,11
208,왕십리(성동구청),승차,271,75,275,419,1110,648,595,640,629,666,710,782,886,1175,802,784,804,772,469,105,21,15,9,5
209,한양대,승차,34,16,46,110,228,252,260,286,460,392,539,716,1286,1211,694,508,422,330,202,56,7,5,4,1
210,뚝섬,승차,108,60,140,346,660,508,545,544,627,752,907,1075,1346,1742,2542,1543,1446,956,339,61,10,8,8,4
211,성수,승차,187,75,225,393,923,782,859,849,964,1204,1449,1726,2138,2640,4582,2906,2512,1700,668,119,62,63,54,34
212,건대입구,승차,514,189,576,884,2334,1313,1192,1322,1271,1404,1516,1601,1822,2050,2102,2079,2113,2020,1284,289,119,119,95,58
213,구의(광진구청),승차,504,131,578,1152,2878,1276,981,995,940,863,889,922,959,1360,843,639,586,515,281,58,105,101,80,52
214,강변(동서울터미널),승차,320,116,383,1284,3281,2172,1660,1520,1393,1253,1294,1327,1520,1614,1207,852,710,471,206,40,79,69,60,29
215,잠실나루,승차,123,57,157,594,1262,939,894,829,761,807,792,851,984,1266,582,432,318,229,95,20,37,30,29,15
216,잠실(송파구청),승차,467,202,550,2129,4972,2926,2648,2767,2759,2871,3291,3892,4851,5522,5224,5048,4224,2944,914,178,308,253,172,53
217,잠실새내,승차,187,86,246,825,2061,1214,1031,1052,993,918,1042,998,1167,1269,1107,956,874,831,420,83,22,22,15,5
218,종합운동장,승차,54,41,76,282,672,421,357,342,315,335,349,408,498,611,315,230,258,139,60,24,14,10,8,2
219,삼성(무역센터),승차,152,88,183,276,624,822,890,989,1453,1740,2206,2778,3693,5054,6368,4496,3794,2398,694,111,114,84,67,42
