역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,하차,27,2,82,343,431,548,668,700,720,684,622,557,490,396,300,252,244,221,167,24,250,208,180,144
202,을지로입구,하차,72,6,124,1066,1873,1594,2086,1955,1987,1817,1807,1765,1700,1504,1166,912,810,650,402,198,94,81,75,54
203,을지로3가,하차,34,1,78,500,576,652,760,763,901,816,816,816,818,748,644,487,415,356,248,8,34,32,31,16
204,을지로4가,하차,20,1,62,178,266,391,487,507,526,487,451,442,430,389,318,256,255,238,171,3,132,110,92,64
205,동대문역사문화공원(DDP),하차,34,2,69,290,499,768,925,934,970,970,937,932,937,876,815,662,633,532,356,13,109,92,78,45
206,신당,하차,30,18,52,256,361,524,594,630,690,727,735,782,832,804,709,602,544,487,327,7,162,173,153,80
207,상왕십리,하차,21,1,35,198,281,398,322,390,411,478,520,575,631,650,603,563,556,504,373,0,46,32,29,18
208,왕십리(성동구청),하차,28,2,47,213,309,382,486,533,612,616,669,719,796,851,730,644,582,532,430,12,21,14,9,7
209,한양대,하차,11,2,26,102,134,210,222,258,307,302,270,257,253,224,185,174,167,162,137,1,8,7,4,3
210,뚝섬,하차,31,0,106,354,547,762,985,1094,1190,1132,1156,1138,1087,864,587,397,364,296,210,9,13,12,10,8
211,성수,하차,38,1,174,483,751,1290,1714,1944,2147,2105,2158,2085,1994,1580,1006,608,481,390,392,164,57,56,50,35
212,건대입구,하차,40,3,84,390,690,1033,1476,1496,1830,1841,2144,2442,2703,2716,2500,2055,1883,1598,1086,106,111,103,81,54
213,구의(광진구청),하차,25,2,73,255,333,415,497,566,712,776,892,1009,1161,1184,1074,1050,1061,912,622,11,104,111,89,63
214,강변(동서울터미널),하차,68,2,110,704,854,1086,1096,1242,1460,1590,1828,1928,2094,2048,1804,1585,1228,957,568,2,43,55,40,52
215,잠실나루,하차,33,3,110,186,239,260,300,342,409,416,476,517,556,508,434,392,371,332,223,2,36,32,27,22
216,잠실(송파구청),하차,112,4,200,1270,2978,3335,3844,3863,3952,4045,4247,4332,4307,4026,3028,2638,2352,1981,1219,2,102,145,111,102
217,잠실새내,하차,19,1,49,249,441,505,706,870,949,992,1105,1233,1336,1268,1078,921,846,711,445,0,13,16,12,7
218,종합운동장,하차,26,4,50,284,394,367,300,365,384,418,412,456,548,414,296,271,255,237,161,10,13,15,13,6
219,삼성(무역센터),하차,51,3,236,1380,1886,2337,2760,2587,2764,2471,2128,2059,1809,1269,748,542,444,326,190,182,46,44,44,37
220,선릉,하차,54,4,279,601,938,1022,990,1064,1167,1042,897,894,879,771,663,588,565,463,289,47,29,34,38,31
221,역삼,하차,64,1,324,720,990,1237,1038,1197,1178,1106,924,880,861,735,600,585,536,454,294,2,114,120,117,73
222,강남,하차,119,11,468,1094,2000,1967,2240,2852,3034,2755,2838,2922,3087,2761,2250,1815,1577,1306,777,8,89,81,77,61
223,교대(법원.검찰청),하차,90,2,276,589,919,763,876,887,997,920,862,963,1033,884,757,661,616,520,350,10,42,35,33,29
224,서초,하차,54,0,220,614,816,675,956,748,834,756,612,684,592,444,319,297,284,264,157,0,36,27,27,31
225,방배,하차,47,2,116,291,602,532,548,506,550,541,540,566,575,541,463,413,405,362,233,0,24,23,17,15
226,사당,하차,80,4,183,789,1144,1224,1590,1590,1682,1680,1798,2069,2286,2326,2011,1830,1762,1571,1128,99,50,44,33,30
227,낙성대(강감찬),하차,59,1,95,341,626,768,779,818,882,941,1084,1167,1316,1426,1341,1331,1374,1271,924,4,50,38,27,18
