역번호,역명,구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시-01시,01시-02시,02시-03시,03시-04시,04시-05시
201,시청,승차,36,70,134,235,387,591,803,870,1051,1267,1493,1936,2963,2418,2266,1632,1498,1067,559,213,592,451,380,242
202,을지로입구,승차,95,131,242,502,728,1062,1401,1612,2006,2392,2815,3454,4601,5352,4625,3994,2922,2744,1372,1096,297,230,198,98
203,을지로3가,승차,52,88,193,377,504,694,788,897,980,1104,1290,1641,1750,2036,2126,1468,1706,1538,1214,460,218,174,129,57
204,을지로4가,승차,39,70,136,279,397,506,638,700,810,892,1017,1196,1130,1410,1161,690,591,456,264,112,212,174,134,69
205,동대문역사문화공원(DDP),승차,206,121,207,309,506,562,658,781,861,1038,1237,1400,1622,1712,1227,969,945,805,543,360,231,175,165,128
206,신당,승차,218,279,363,561,1075,716,745,799,886,906,933,1039,1129,1063,941,720,658,656,428,210,193,186,194,139
207,상왕십리,승차,208,333,438,737,1416,828,856,836,862,805,796,820,895,872,785,482,408,315,194,112,37,26,25,15
208,왕십리(성동구청),승차,278,286,360,584,1084,714,787,869,887,926,981,1145,1213,1364,942,859,963,994,794,376,42,28,16,9
209,한양대,승차,44,78,117,291,232,330,410,465,547,572,720,844,1363,1217,642,499,366,330,225,118,11,9,7,3
210,뚝섬,승차,117,210,281,416,660,552,662,818,993,1213,1540,1996,2741,2614,2480,1700,1556,1232,722,256,19,14,16,7
211,성수,승차,203,288,353,529,884,780,943,1196,1527,1790,2294,3038,4645,4292,4432,2980,2731,2292,1382,479,86,82,69,43
212,건대입구,승차,600,715,821,1401,2309,1437,1544,1690,1868,1979,2174,2505,2842,3018,2530,2705,2916,3256,2446,1421,188,181,141,87
213,구의(광진구청),승차,494,656,802,1351,2760,1373,1416,1328,1314,1278,1272,1482,1430,1593,1012,723,646,626,413,260,131,126,100,65
214,강변(동서울터미널),승차,308,510,844,1795,3074,2530,2604,2486,2389,2154,2142,2161,2297,2363,1947,1729,1464,1144,791,540,91,81,71,35
215,잠실나루,승차,116,216,348,606,1196,923,901,867,811,816,874,1051,1061,1328,637,425,313,249,157,91,40,34,31,20
216,잠실(송파구청),승차,472,1164,1433,2322,4611,2947,3289,3606,4084,4645,5456,6575,7476,8614,6476,6507,6003,5250,3900,2084,338,274,191,67
217,잠실새내,승차,190,355,575,985,1980,1240,1393,1316,1445,1393,1412,1466,1578,1785,1304,1084,1050,1104,854,453,33,34,25,9
218,종합운동장,승차,56,169,259,403,648,440,453,530,524,596,612,811,959,838,880,768,1361,1046,368,81,22,16,12,5
219,삼성(무역센터),승차,181,206,284,380,606,834,1266,1836,2458,3132,4021,5216,6338,6522,5516,4178,3731,2753,1279,882,127,91,71,44
220,선릉,승차,186,343,425,651,950,1372,1667,2160,2386,2502,2814,3262,4483,5962,5642,3288,3176,2925,1307,466,80,74,71,39
221,역삼,승차,134,301,312,487,698,940,1077,1428,1674,2020,2204,2636,3641,4772,5677,3038,2831,2044,962,359,211,223,201,88
222,강남,승차,446,618,626,927,1744,1950,2672,3368,3979,4456,5432,6524,6416,7227,8287,6081,6774,6312,4390,1698,353,328,244,129
223,교대(법원.검찰청),승차,96,316,340,591,1083,1045,1170,1297,1560,1679,1716,2174,2364,2672,2490,1990,2078,1752,884,360,71,57,47,28
224,서초,승차,69,230,604,839,924,811,1303,1001,1655,1236,1716,1716,1909,2012,1609,1061,1056,750,394,151,66,46,37,25
225,방배,승차,93,259,290,453,926,725,797,854,914,976,1029,1153,1324,1554,1139,793,804,662,342,128,50,37,29,13
226,사당,승차,450,730,952,1540,2892,1786,1894,1903,2046,2253,2437,2586,2970,2916,2570,2619,2774,2869,2201,835,135,82,69,38
227,낙성대(강감찬),승차,419,622,946,1708,3170,1672,1799,1746,1817,1691,1676,1619,1744,1836,1227,938,862,707,472,204,29,22,26,24
228,서울대입구(관악구청),승차,1251,1005,1401,2271,4578,2556,2696,2614,2754,2816,2716,2882,2970,2962,2258,1824,1800,1698,1164,468,127,86,65,61
229,봉천,승차,548,690,952,1562,2886,1573,1529,1511,1447,1344,1200,1219,1203,1260,851,666,561,466,268,158,48,34,38,30
230,신림,승차,1356,1712,2284,3873,6376,3475,3558,3439,3309,3215,3060,3042,2992,3010,2193,1832,1728,1622,1167,643,193,165,153,102
231,신대방,승차,874,858,1222,2122,3116,1807,1744,1616,1550,1383,1300,1333,1308,1357,877,677,537,448,289,191,55,65,68,58
232,구로디지털단지,승차,1344,1271,1708,2728,4346,2555,2708,2618,2575,2572,2554,3000,2984,3393,4052,2371,1986,1733,1018,462,53,49,46,33
233,대림(구로구청),승차,1210,795,1307,1770,2243,1482,1455,1373,1360,1323,1299,1362,1522,1354,1015,781,673,546,378,257,8,7,9,6
234,신도림,승차,1369,976,1420,2317,3376,2264,2450,2702,2867,3084,3342,3473,3843,4042,2839,2394,2523,2174,1415,521,49,30,27,17
235,문래,승차,146,258,361,618,1055,727,786,925,943,954,1061,1278,1334,1456,1520,960,1067,957,652,249,165,145,119,47
236,영등포구청,승차,199,296,384,618,1127,812,893,964,1000,1082,1128,1379,1306,1558,1415,954,912,799,479,187,0,0,0,0
237,당산,승차,228,336,507,774,1284,913,922,934,947,964,972,1093,1356,1138,1058,792,775,715,466,240,77,52,32,15
238,합정,승차,426,547,563,818,1381,1023,1222,1467,1602,1776,2034,2318,2932,3043,2808,2569,2863,2876,2032,938,297,252,204,86
239,홍대입구,승차,1674,1108,2075,1456,2206,2070,2302,2670,3147,3671,4490,5587,6393,7022,6192,6739,7376,7683,5264,3933,526,347,302,142
240,신촌,승차,342,446,647,872,1466,1436,1694,2111,2263,2452,2734,3180,3527,3566,2676,2690,2813,2955,1990,888,360,257,185,82
241,이대,승차,131,219,352,566,872,741,842,1083,1084,1078,1153,1242,1572,1390,1056,819,705,609,325,155,107,85,72,34
242,아현,승차,175,239,351,550,927,668,730,693,706,661,667,711,754,876,546,383,300,228,131,74,90,64,55,33
243,충정로(경기대입구),승차,111,169,224,346,577,411,441,479,502,533,574,691,736,830,587,389,360,283,159,62,37,21,16,7
244,용답,승차,83,96,121,203,280,196,194,197,201,182,190,185,198,177,123,92,69,56,36,21,152,144,138,91
245,신답,승차,47,45,75,105,192,101,101,95,90,84,81,85,86,91,50,37,29,26,12,8,31,33,32,19
246,신설동,승차,52,50,74,127,197,185,226,300,343,410,452,435,448,457,231,154,124,92,56,30,236,271,227,90
247,도림천,승차,15,30,58,70,77,78,73,85,65,88,80,92,113,122,64,41,28,19,13,7,53,33,30,12
248,양천구청,승차,170,203,317,568,646,456,459,422,386,340,327,353,364,390,188,139,106,96,53,31,31,31,28,10
249,신정네거리,승차,306,333,503,790,920,675,708,669,632,569,507,530,510,507,314,229,197,163,101,62,406,377,261,56
250,용두(동대문구청),승차,46,49,68,118,186,151,157,160,165,170,174,192,185,223,113,78,62,41,23,12,361,353,336,169
