역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
203,을지로3가,하차,14시-15시,"Gamma(alpha=6.379, beta=37.622)",0.045389,0.928087,137,성공
203,을지로3가,하차,15시-16시,"Normal(mean=917.345, stdDev=142.042)",0.034988,0.991712,145,성공
203,을지로3가,하차,16시-17시,"Triangular(min=535.871, mode=825.000, max=1532.736)",0.056761,0.712776,146,성공
203,을지로3가,하차,17시-18시,"Triangular(min=275.088, mode=1400.000, max=1858.271)",0.19171,1.7e-05,156,실패
203,을지로3가,하차,18시-19시,"Weibull(shape=1.720, scale=985.061)",0.087771,0.172925,155,성공
203,을지로3가,하차,19시-20시,"Normal(mean=955.942, stdDev=365.388)",0.100018,0.082298,156,성공
203,을지로3가,하차,20시-21시,"Weibull(shape=3.646, scale=495.816)",0.08766,0.255306,130,성공
203,을지로3가,하차,21시-22시,"Normal(mean=497.120, stdDev=118.749)",0.050289,0.872617,133,성공
203,을지로3가,하차,22시-23시,"Triangular(min=169.893, mode=451.000, max=686.082)",0.054635,0.762199,144,성공
203,을지로3가,하차,23시-24시,"Normal(mean=311.321, stdDev=97.894)",0.049542,0.864896,140,성공
203,을지로3가,하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=503.804)",0.364109,0.0,143,실패
203,을지로3가,하차,01시-02시,"Weibull(shape=2.603, scale=30.708)",0.072952,0.379397,151,성공
203,을지로3가,하차,02시-03시,"Triangular(min=13.712, mode=41.000, max=67.818)",0.066206,0.488896,154,성공
203,을지로3가,하차,03시-04시,"Weibull(shape=2.778, scale=30.272)",0.079188,0.281229,152,성공
203,을지로3가,하차,04시-05시,"Weibull(shape=2.538, scale=14.258)",0.076682,0.320588,151,성공
204,을지로4가,하차,05시-06시,"Weibull(shape=2.006, scale=32.772)",0.075699,0.316983,156,성공
204,을지로4가,하차,06시-07시,"Triangular(min=0.000, mode=573.000, max=601.797)",0.463811,0.0,156,실패
204,을지로4가,하차,07시-08시,"Weibull(shape=0.972, scale=156.058)",0.122195,0.054065,118,성공
204,을지로4가,하차,08시-09시,"Triangular(min=0.000, mode=585.000, max=648.728)",0.31489,0.0,118,실패
204,을지로4가,하차,09시-10시,"Triangular(min=0.000, mode=1671.000, max=2054.584)",0.540007,0.0,156,실패
204,을지로4가,하차,10시-11시,"Weibull(shape=2.881, scale=829.854)",0.087673,0.205869,144,성공
204,을지로4가,하차,11시-12시,"Triangular(min=0.000, mode=875.000, max=1332.565)",0.128813,0.014765,145,실패
204,을지로4가,하차,12시-13시,"Triangular(min=97.928, mode=930.000, max=1071.691)",0.087726,0.170705,156,성공
204,을지로4가,하차,13시-14시,"Triangular(min=207.379, mode=898.000, max=1041.985)",0.111718,0.038549,155,실패
204,을지로4가,하차,14시-15시,"Triangular(min=194.939, mode=783.000, max=1031.423)",0.109821,0.042938,156,실패
204,을지로4가,하차,15시-16시,"Triangular(min=181.841, mode=725.000, max=1016.105)",0.11218,0.036385,156,실패
204,을지로4가,하차,16시-17시,"Triangular(min=149.186, mode=714.000, max=978.107)",0.080853,0.246031,156,성공
204,을지로4가,하차,17시-18시,"Triangular(min=150.671, mode=727.000, max=1016.954)",0.1172,0.025278,156,실패
204,을지로4가,하차,18시-19시,"Weibull(shape=2.274, scale=502.797)",0.07557,0.318921,156,성공
204,을지로4가,하차,19시-20시,"Weibull(shape=2.191, scale=343.569)",0.042434,0.940757,149,성공
204,을지로4가,하차,20시-21시,"Weibull(shape=3.483, scale=212.137)",0.066177,0.595932,130,성공
204,을지로4가,하차,21시-22시,"Weibull(shape=2.906, scale=146.795)",0.03144,0.998931,133,성공
204,을지로4가,하차,22시-23시,"Triangular(min=143.271, mode=300.000, max=402.185)",0.040172,0.960822,150,성공
204,을지로4가,하차,23시-24시,"Triangular(min=69.573, mode=227.000, max=368.630)",0.036346,0.983194,153,성공
204,을지로4가,하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=383.105)",0.362936,0.0,155,실패
204,을지로4가,하차,01시-02시,"Triangular(min=69.532, mode=162.000, max=267.624)",0.054858,0.728976,152,성공
204,을지로4가,하차,02시-03시,"Triangular(min=49.345, mode=152.000, max=225.183)",0.06729,0.480503,151,성공
204,을지로4가,하차,03시-04시,"Triangular(min=41.856, mode=120.000, max=186.120)",0.065248,0.524208,150,성공
204,을지로4가,하차,04시-05시,"Weibull(shape=3.948, scale=85.306)",0.069856,0.424906,153,성공
205,동대문역사문화공원(DDP),하차,05시-06시,"Weibull(shape=2.639, scale=31.742)",0.081245,0.244341,155,성공
205,동대문역사문화공원(DDP),하차,06시-07시,"Triangular(min=0.000, mode=163.000, max=470.240)",0.256358,0.0,156,실패
205,동대문역사문화공원(DDP),하차,07시-08시,"Triangular(min=18.889, mode=18.889, max=944.781)",0.255238,0.0,132,실패
205,동대문역사문화공원(DDP),하차,08시-09시,"Weibull(shape=1.678, scale=333.971)",0.047611,0.940158,118,성공
205,동대문역사문화공원(DDP),하차,09시-10시,"Triangular(min=54.723, mode=515.000, max=1738.057)",0.094302,0.116933,156,성공
205,동대문역사문화공원(DDP),하차,10시-11시,"Triangular(min=350.064, mode=1104.000, max=1362.985)",0.046314,0.928954,131,성공
205,동대문역사문화공원(DDP),하차,11시-12시,"Normal(mean=1070.729, stdDev=156.304)",0.05242,0.851784,129,성공
205,동대문역사문화공원(DDP),하차,12시-13시,"Weibull(shape=3.132, scale=534.594)",0.037332,0.981284,148,성공
205,동대문역사문화공원(DDP),하차,13시-14시,"Triangular(min=712.115, mode=993.000, max=1548.987)",0.054703,0.753693,146,성공
205,동대문역사문화공원(DDP),하차,14시-15시,"Triangular(min=766.631, mode=967.000, max=1612.303)",0.045877,0.897986,149,성공
205,동대문역사문화공원(DDP),하차,15시-16시,"Triangular(min=702.491, mode=971.000, max=1483.341)",0.058125,0.681194,147,성공
205,동대문역사문화공원(DDP),하차,16시-17시,"Lognormal(normalMean=7.269, normalStdDev=0.103)",0.040585,0.960692,147,성공
205,동대문역사문화공원(DDP),하차,17시-18시,"Weibull(shape=2.743, scale=476.931)",0.054353,0.749868,149,성공
205,동대문역사문화공원(DDP),하차,18시-19시,"Triangular(min=518.046, mode=913.000, max=1669.848)",0.056451,0.692501,153,성공
205,동대문역사문화공원(DDP),하차,19시-20시,"Triangular(min=569.225, mode=923.000, max=1283.331)",0.028644,0.99955,145,성공
205,동대문역사문화공원(DDP),하차,20시-21시,"Weibull(shape=3.469, scale=501.662)",0.04028,0.971983,138,성공
205,동대문역사문화공원(DDP),하차,21시-22시,"Normal(mean=702.382, stdDev=111.261)",0.048308,0.893368,136,성공
205,동대문역사문화공원(DDP),하차,22시-23시,"Normal(mean=617.260, stdDev=112.781)",0.039153,0.972221,146,성공
205,동대문역사문화공원(DDP),하차,23시-24시,"Lognormal(normalMean=6.136, normalStdDev=0.282)",0.077258,0.315801,150,성공
205,동대문역사문화공원(DDP),하차,24시-01시,"Triangular(min=0.000, mode=1.000, max=757.903)",0.284448,0.0,154,실패
205,동대문역사문화공원(DDP),하차,01시-02시,"Weibull(shape=2.762, scale=82.046)",0.056233,0.704521,151,성공
205,동대문역사문화공원(DDP),하차,02시-03시,"Triangular(min=55.851, mode=109.000, max=165.750)",0.06193,0.599233,148,성공
205,동대문역사문화공원(DDP),하차,03시-04시,"Weibull(shape=3.703, scale=73.723)",0.05401,0.760169,148,성공
205,동대문역사문화공원(DDP),하차,04시-05시,"Weibull(shape=3.524, scale=41.142)",0.050124,0.829788,149,성공
206,신당,하차,05시-06시,"Weibull(shape=2.971, scale=19.220)",0.072842,0.385218,150,성공
206,신당,하차,06시-07시,"Triangular(min=0.000, mode=349.000, max=376.142)",0.310575,0.0,156,실패
206,신당,하차,07시-08시,"Triangular(min=0.000, mode=671.000, max=753.691)",0.456578,0.0,156,실패
206,신당,하차,08시-09시,"Lognormal(normalMean=5.862, normalStdDev=0.459)",0.0753,0.475996,121,성공
206,신당,하차,09시-10시,"Triangular(min=19.210, mode=937.000, max=937.000)",0.247114,0.0,156,실패
206,신당,하차,10시-11시,"Weibull(shape=6.052, scale=381.048)",0.056828,0.785041,127,성공
206,신당,하차,11시-12시,"Normal(mean=697.029, stdDev=106.571)",0.053493,0.801043,139,성공
206,신당,하차,12시-13시,"Triangular(min=442.891, mode=681.000, max=1037.578)",0.065436,0.524751,149,성공
206,신당,하차,13시-14시,"Gamma(alpha=69.254, beta=12.525)",0.043951,0.933719,143,성공
