역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
203,을지로3가,하차,14시-15시,"Weibull(shape=3.246, scale=177.563)",0.04195,0.87374,192,성공
203,을지로3가,하차,15시-16시,"Gamma(alpha=21.272, beta=17.144)",0.044411,0.829093,191,성공
203,을지로3가,하차,16시-17시,"Gamma(alpha=12.328, beta=18.882)",0.039886,0.911036,190,성공
203,을지로3가,하차,17시-18시,"Weibull(shape=3.505, scale=574.225)",0.062786,0.38739,202,성공
203,을지로3가,하차,18시-19시,"Triangular(min=419.876, mode=1316.000, max=1872.121)",0.069081,0.264238,207,성공
203,을지로3가,하차,19시-20시,"Lognormal(normalMean=6.785, normalStdDev=0.204)",0.062672,0.386631,203,성공
203,을지로3가,하차,20시-21시,"Lognormal(normalMean=5.974, normalStdDev=0.188)",0.0518,0.767098,159,성공
203,을지로3가,하차,21시-22시,"Gamma(alpha=5.859, beta=31.201)",0.062322,0.52673,164,성공
203,을지로3가,하차,22시-23시,"Normal(mean=367.286, stdDev=75.483)",0.050348,0.663133,203,성공
203,을지로3가,하차,23시-24시,"Triangular(min=20.823, mode=404.000, max=446.375)",0.348243,0.0,202,실패
203,을지로3가,하차,24시-01시,"Triangular(min=0.000, mode=62.000, max=289.663)",0.383829,0.0,162,실패
203,을지로3가,하차,01시-02시,"Triangular(min=24.587, mode=38.000, max=54.486)",0.046324,0.781553,194,성공
203,을지로3가,하차,02시-03시,"Weibull(shape=4.107, scale=25.995)",0.038047,0.922222,201,성공
203,을지로3가,하차,03시-04시,"Weibull(shape=3.662, scale=24.004)",0.067251,0.306568,202,성공
203,을지로3가,하차,04시-05시,"Weibull(shape=3.197, scale=10.557)",0.091114,0.071288,197,성공
204,을지로4가,하차,05시-06시,"Weibull(shape=3.994, scale=22.592)",0.074548,0.232473,189,성공
204,을지로4가,하차,06시-07시,"Triangular(min=0.000, mode=586.000, max=618.059)",0.339985,0.0,208,실패
204,을지로4가,하차,07시-08시,"Triangular(min=0.000, mode=1704.000, max=1767.514)",0.3452,0.0,208,실패
204,을지로4가,하차,08시-09시,"Triangular(min=0.000, mode=3872.000, max=3872.000)",0.496495,0.0,208,실패
204,을지로4가,하차,09시-10시,"Weibull(shape=4.243, scale=336.086)",0.03413,0.976807,186,성공
204,을지로4가,하차,10시-11시,"Gamma(alpha=88.715, beta=5.667)",0.053597,0.775119,146,성공
204,을지로4가,하차,11시-12시,"Lognormal(normalMean=6.741, normalStdDev=0.089)",0.043674,0.918056,154,성공
204,을지로4가,하차,12시-13시,"Gamma(alpha=19.061, beta=16.413)",0.035669,0.969846,180,성공
204,을지로4가,하차,13시-14시,"Gamma(alpha=90.697, beta=7.223)",0.047135,0.768934,192,성공
204,을지로4가,하차,14시-15시,"Triangular(min=586.886, mode=704.000, max=848.560)",0.046895,0.784755,188,성공
204,을지로4가,하차,15시-16시,"Triangular(min=512.165, mode=619.000, max=785.450)",0.045105,0.81495,191,성공
204,을지로4가,하차,16시-17시,"Normal(mean=585.357, stdDev=50.187)",0.051407,0.692802,185,성공
204,을지로4가,하차,17시-18시,"Weibull(shape=3.325, scale=207.244)",0.048752,0.721184,196,성공
204,을지로4가,하차,18시-19시,"Weibull(shape=3.670, scale=235.991)",0.030412,0.992971,188,성공
204,을지로4가,하차,19시-20시,"Lognormal(normalMean=5.852, normalStdDev=0.220)",0.054251,0.637556,182,성공
204,을지로4가,하차,20시-21시,"Gamma(alpha=31.685, beta=7.864)",0.052451,0.757209,158,성공
204,을지로4가,하차,21시-22시,"Lognormal(normalMean=5.136, normalStdDev=0.339)",0.072648,0.26134,188,성공
204,을지로4가,하차,22시-23시,"Weibull(shape=4.306, scale=156.122)",0.054231,0.59549,195,성공
204,을지로4가,하차,23시-24시,"Lognormal(normalMean=4.865, normalStdDev=0.317)",0.057278,0.548736,188,성공
204,을지로4가,하차,24시-01시,"Weibull(shape=2.311, scale=53.857)",0.075047,0.326882,156,성공
204,을지로4가,하차,01시-02시,"Gamma(alpha=48.591, beta=2.814)",0.053081,0.631952,192,성공
204,을지로4가,하차,02시-03시,"Weibull(shape=2.602, scale=50.588)",0.05064,0.682968,194,성공
204,을지로4가,하차,03시-04시,"Triangular(min=63.003, mode=98.000, max=143.239)",0.040668,0.885288,198,성공
204,을지로4가,하차,04시-05시,"Gamma(alpha=2302.428, beta=0.268)",0.056234,0.536375,199,성공
205,동대문역사문화공원(DDP),하차,05시-06시,"Triangular(min=39.713, mode=54.000, max=67.130)",0.053485,0.622521,192,성공
205,동대문역사문화공원(DDP),하차,06시-07시,"Triangular(min=0.000, mode=418.000, max=432.795)",0.24995,0.0,208,실패
205,동대문역사문화공원(DDP),하차,07시-08시,"Triangular(min=0.000, mode=1150.000, max=1249.617)",0.246393,0.0,208,실패
205,동대문역사문화공원(DDP),하차,08시-09시,"Triangular(min=0.000, mode=2376.000, max=2589.669)",0.325524,0.0,208,실패
205,동대문역사문화공원(DDP),하차,09시-10시,"Weibull(shape=8.076, scale=1013.748)",0.076208,0.229157,182,성공
205,동대문역사문화공원(DDP),하차,10시-11시,"Lognormal(normalMean=6.440, normalStdDev=0.205)",0.062736,0.549817,156,성공
205,동대문역사문화공원(DDP),하차,11시-12시,"Lognormal(normalMean=5.866, normalStdDev=0.287)",0.055968,0.595194,183,성공
205,동대문역사문화공원(DDP),하차,12시-13시,"Triangular(min=740.201, mode=882.000, max=1205.276)",0.038292,0.925407,196,성공
205,동대문역사문화공원(DDP),하차,13시-14시,"Gamma(alpha=19.194, beta=20.820)",0.039779,0.901756,197,성공
205,동대문역사문화공원(DDP),하차,14시-15시,"Weibull(shape=2.915, scale=235.939)",0.037271,0.939924,195,성공
205,동대문역사문화공원(DDP),하차,15시-16시,"Triangular(min=701.276, mode=839.000, max=1060.870)",0.040323,0.902763,191,성공
205,동대문역사문화공원(DDP),하차,16시-17시,"Weibull(shape=2.777, scale=238.754)",0.025273,0.99938,195,성공
205,동대문역사문화공원(DDP),하차,17시-18시,"Triangular(min=707.429, mode=991.000, max=1192.538)",0.054841,0.584533,194,성공
205,동대문역사문화공원(DDP),하차,18시-19시,"Triangular(min=601.114, mode=1242.000, max=1552.926)",0.072274,0.228225,203,성공
205,동대문역사문화공원(DDP),하차,19시-20시,"Gamma(alpha=233.696, beta=7.886)",0.04797,0.722709,202,성공
205,동대문역사문화공원(DDP),하차,20시-21시,"Lognormal(normalMean=6.211, normalStdDev=0.275)",0.058059,0.572974,176,성공
205,동대문역사문화공원(DDP),하차,21시-22시,"Normal(mean=649.124, stdDev=90.207)",0.049026,0.815427,161,성공
205,동대문역사문화공원(DDP),하차,22시-23시,"Lognormal(normalMean=5.786, normalStdDev=0.300)",0.043749,0.870076,178,성공
205,동대문역사문화공원(DDP),하차,23시-24시,"Lognormal(normalMean=5.690, normalStdDev=0.199)",0.072025,0.349576,163,성공
205,동대문역사문화공원(DDP),하차,24시-01시,"Triangular(min=0.000, mode=135.000, max=385.129)",0.308657,0.0,161,실패
205,동대문역사문화공원(DDP),하차,01시-02시,"Triangular(min=81.845, mode=116.000, max=155.557)",0.040357,0.892296,197,성공
205,동대문역사문화공원(DDP),하차,02시-03시,"Triangular(min=75.262, mode=102.000, max=126.897)",0.043339,0.860655,186,성공
205,동대문역사문화공원(DDP),하차,03시-04시,"Weibull(shape=3.952, scale=40.431)",0.055597,0.58347,189,성공
205,동대문역사문화공원(DDP),하차,04시-05시,"Weibull(shape=3.561, scale=24.902)",0.050588,0.672197,198,성공
206,신당,하차,05시-06시,"Weibull(shape=2.618, scale=16.655)",0.058588,0.496536,195,성공
206,신당,하차,06시-07시,"Triangular(min=0.000, mode=352.000, max=395.487)",0.249971,0.0,208,실패
206,신당,하차,07시-08시,"Triangular(min=0.000, mode=734.000, max=774.787)",0.242798,0.0,208,실패
206,신당,하차,08시-09시,"Triangular(min=0.000, mode=1451.000, max=1475.244)",0.371196,0.0,208,실패
206,신당,하차,09시-10시,"Weibull(shape=221944498.932, scale=15931377443.092)",0.09403,0.062812,192,성공
206,신당,하차,10시-11시,"Weibull(shape=5.188, scale=192.818)",0.060713,0.619991,149,성공
206,신당,하차,11시-12시,"Lognormal(normalMean=5.729, normalStdDev=0.230)",0.086299,0.127212,181,성공
206,신당,하차,12시-13시,"Lognormal(normalMean=6.829, normalStdDev=0.043)",0.039413,0.916499,191,성공
206,신당,하차,13시-14시,"Weibull(shape=3.283, scale=173.379)",0.034049,0.974348,191,성공
206,신당,하차,14시-15시,"Weibull(shape=4.483, scale=236.294)",0.045334,0.798019,196,성공
206,신당,하차,15시-16시,"Weibull(shape=6.294, scale=405.867)",0.045488,0.797166,195,성공
206,신당,하차,16시-17시,"Triangular(min=571.262, mode=1023.000, max=1175.793)",0.064863,0.342517,204,성공
206,신당,하차,17시-18시,"Triangular(min=520.884, mode=1441.000, max=1583.056)",0.122282,0.003613,208,실패
206,신당,하차,18시-19시,"Triangular(min=373.596, mode=2303.000, max=2561.242)",0.286981,0.0,208,실패
206,신당,하차,19시-20시,"Weibull(shape=3.515, scale=262.649)",0.036591,0.955833,187,성공
206,신당,하차,20시-21시,"Weibull(shape=5.027, scale=240.248)",0.035705,0.9883,148,성공
206,신당,하차,21시-22시,"Normal(mean=713.623, stdDev=66.655)",0.061988,0.57327,154,성공
206,신당,하차,22시-23시,"Weibull(shape=4.025, scale=312.685)",0.045275,0.794418,198,성공
206,신당,하차,23시-24시,"Lognormal(normalMean=5.577, normalStdDev=0.290)",0.078685,0.230836,170,성공
