역번호,역명,구분,시간대,분포,KS통계량,P값,데이터수,성공여부
203,을지로3가,승차,13시-14시,"Weibull(shape=2.889, scale=238.189)",0.030539,0.993279,185,성공
203,을지로3가,승차,14시-15시,"Triangular(min=610.416, mode=1076.000, max=1390.076)",0.075681,0.203421,195,성공
203,을지로3가,승차,15시-16시,"Triangular(min=719.222, mode=1272.000, max=1534.029)",0.122281,0.005026,197,실패
203,을지로3가,승차,16시-17시,"Triangular(min=765.166, mode=1601.000, max=1868.058)",0.150487,0.000194,201,실패
203,을지로3가,승차,17시-18시,"Triangular(min=96.660, mode=4044.000, max=4407.174)",0.355707,0.0,208,실패
203,을지로3가,승차,18시-19시,"Triangular(min=0.000, mode=6843.000, max=6843.000)",0.433609,0.0,208,실패
203,을지로3가,승차,19시-20시,"Lognormal(normalMean=6.529, normalStdDev=0.187)",0.081167,0.276033,146,성공
203,을지로3가,승차,20시-21시,"Lognormal(normalMean=7.287, normalStdDev=0.074)",0.083318,0.245303,147,성공
203,을지로3가,승차,21시-22시,"Lognormal(normalMean=6.883, normalStdDev=0.259)",0.067623,0.347155,186,성공
203,을지로3가,승차,22시-23시,"Triangular(min=980.360, mode=1556.000, max=1929.032)",0.035341,0.963265,192,성공
203,을지로3가,승차,23시-24시,"Lognormal(normalMean=7.405, normalStdDev=0.127)",0.064542,0.485683,163,성공
203,을지로3가,승차,24시-01시,"Weibull(shape=1.165, scale=71.210)",0.081003,0.237851,158,성공
203,을지로3가,승차,01시-02시,"Weibull(shape=3.056, scale=49.274)",0.056446,0.544398,195,성공
203,을지로3가,승차,02시-03시,"Triangular(min=41.968, mode=70.000, max=106.169)",0.049551,0.711302,193,성공
203,을지로3가,승차,03시-04시,"Triangular(min=32.041, mode=54.000, max=79.207)",0.062816,0.414576,193,성공
203,을지로3가,승차,04시-05시,"Triangular(min=11.191, mode=22.000, max=36.677)",0.054652,0.5698,200,성공
204,을지로4가,승차,05시-06시,"Weibull(shape=3.392, scale=21.793)",0.054728,0.577528,197,성공
204,을지로4가,승차,06시-07시,"Triangular(min=0.000, mode=78.000, max=108.672)",0.247051,0.0,208,실패
204,을지로4가,승차,07시-08시,"Triangular(min=0.000, mode=245.000, max=277.235)",0.225694,0.0,208,실패
204,을지로4가,승차,08시-09시,"Triangular(min=0.000, mode=456.000, max=575.895)",0.217486,0.0,208,실패
204,을지로4가,승차,09시-10시,"Triangular(min=63.336, mode=438.000, max=633.332)",0.087544,0.077643,208,성공
204,을지로4가,승차,10시-11시,"Triangular(min=356.949, mode=501.000, max=614.669)",0.036355,0.947476,198,성공
204,을지로4가,승차,11시-12시,"Triangular(min=366.812, mode=595.000, max=765.511)",0.043733,0.813608,204,성공
204,을지로4가,승차,12시-13시,"Weibull(shape=5.332, scale=319.835)",0.044107,0.823869,196,성공
204,을지로4가,승차,13시-14시,"Weibull(shape=3.521, scale=226.459)",0.043383,0.83417,198,성공
204,을지로4가,승차,14시-15시,"Triangular(min=569.257, mode=849.000, max=1005.801)",0.061863,0.417902,198,성공
204,을지로4가,승차,15시-16시,"Triangular(min=607.536, mode=969.000, max=1133.436)",0.055176,0.557576,200,성공
204,을지로4가,승차,16시-17시,"Triangular(min=558.267, mode=1246.000, max=1597.254)",0.159795,4.9e-05,205,실패
204,을지로4가,승차,17시-18시,"Triangular(min=172.846, mode=2658.000, max=2802.851)",0.416394,0.0,208,실패
204,을지로4가,승차,18시-19시,"Triangular(min=153.328, mode=3199.000, max=3281.178)",0.465393,0.0,208,실패
204,을지로4가,승차,19시-20시,"Weibull(shape=3.030, scale=161.734)",0.047287,0.888912,144,성공
204,을지로4가,승차,20시-21시,"Lognormal(normalMean=8.023, normalStdDev=0.018)",0.03935,0.97002,147,성공
204,을지로4가,승차,21시-22시,"Lognormal(normalMean=6.360, normalStdDev=0.114)",0.069906,0.432139,151,성공
204,을지로4가,승차,22시-23시,"Lognormal(normalMean=5.968, normalStdDev=0.123)",0.036525,0.982894,152,성공
204,을지로4가,승차,23시-24시,"Lognormal(normalMean=6.478, normalStdDev=0.069)",0.08733,0.169243,158,성공
204,을지로4가,승차,24시-01시,"Triangular(min=0.000, mode=36.000, max=127.967)",0.319669,0.0,157,실패
204,을지로4가,승차,01시-02시,"Weibull(shape=2.321, scale=58.461)",0.029085,0.994641,197,성공
204,을지로4가,승차,02시-03시,"Weibull(shape=3.008, scale=63.390)",0.032653,0.981167,195,성공
204,을지로4가,승차,03시-04시,"Triangular(min=63.374, mode=101.000, max=131.546)",0.04156,0.875015,195,성공
204,을지로4가,승차,04시-05시,"Normal(mean=49.575, stdDev=9.002)",0.050554,0.667047,200,성공
205,동대문역사문화공원(DDP),승차,05시-06시,"Normal(mean=227.952, stdDev=11.876)",0.038243,0.936282,188,성공
205,동대문역사문화공원(DDP),승차,06시-07시,"Triangular(min=0.000, mode=190.000, max=218.912)",0.28301,0.0,208,실패
205,동대문역사문화공원(DDP),승차,07시-08시,"Triangular(min=114.454, mode=358.000, max=381.887)",0.169569,1.5e-05,202,실패
205,동대문역사문화공원(DDP),승차,08시-09시,"Triangular(min=18.108, mode=604.000, max=676.543)",0.248504,0.0,208,실패
205,동대문역사문화공원(DDP),승차,09시-10시,"Triangular(min=128.416, mode=597.000, max=743.478)",0.108825,0.01338,208,실패
205,동대문역사문화공원(DDP),승차,10시-11시,"Weibull(shape=3.485, scale=199.533)",0.047589,0.753404,194,성공
205,동대문역사문화공원(DDP),승차,11시-12시,"Normal(mean=605.218, stdDev=46.460)",0.02672,0.999213,179,성공
205,동대문역사문화공원(DDP),승차,12시-13시,"Normal(mean=657.042, stdDev=88.864)",0.03245,0.983649,192,성공
205,동대문역사문화공원(DDP),승차,13시-14시,"Triangular(min=537.738, mode=732.000, max=921.245)",0.035444,0.958964,196,성공
205,동대문역사문화공원(DDP),승차,14시-15시,"Weibull(shape=4.137, scale=370.223)",0.049864,0.701107,194,성공
205,동대문역사문화공원(DDP),승차,15시-16시,"Triangular(min=609.728, mode=1018.000, max=1341.653)",0.055035,0.57358,196,성공
205,동대문역사문화공원(DDP),승차,16시-17시,"Triangular(min=564.993, mode=1347.000, max=1806.333)",0.07115,0.234148,207,성공
205,동대문역사문화공원(DDP),승차,17시-18시,"Triangular(min=777.247, mode=1666.000, max=1915.328)",0.184806,1e-06,204,실패
205,동대문역사문화공원(DDP),승차,18시-19시,"Triangular(min=1041.664, mode=1908.000, max=2192.874)",0.230972,0.0,193,실패
205,동대문역사문화공원(DDP),승차,19시-20시,"Lognormal(normalMean=6.471, normalStdDev=0.161)",0.062607,0.544421,158,성공
205,동대문역사문화공원(DDP),승차,20시-21시,"Lognormal(normalMean=6.625, normalStdDev=0.108)",0.077253,0.294229,156,성공
205,동대문역사문화공원(DDP),승차,21시-22시,"Triangular(min=600.585, mode=813.000, max=1229.718)",0.063363,0.382214,200,성공
205,동대문역사문화공원(DDP),승차,22시-23시,"Triangular(min=404.871, mode=731.000, max=951.290)",0.05204,0.628525,201,성공
205,동대문역사문화공원(DDP),승차,23시-24시,"Lognormal(normalMean=5.644, normalStdDev=0.248)",0.056526,0.664762,160,성공
205,동대문역사문화공원(DDP),승차,24시-01시,"Weibull(shape=1.652, scale=50.721)",0.074963,0.324539,157,성공
205,동대문역사문화공원(DDP),승차,01시-02시,"Weibull(shape=2.139, scale=76.512)",0.050405,0.688477,194,성공
205,동대문역사문화공원(DDP),승차,02시-03시,"Weibull(shape=3.912, scale=86.102)",0.042444,0.85679,196,성공
205,동대문역사문화공원(DDP),승차,03시-04시,"Triangular(min=134.018, mode=198.000, max=227.421)",0.03838,0.92552,195,성공
205,동대문역사문화공원(DDP),승차,04시-05시,"Triangular(min=104.214, mode=152.000, max=188.755)",0.035407,0.956715,199,성공
206,신당,승차,05시-06시,"Weibull(shape=3.916, scale=54.156)",0.037448,0.948953,185,성공
206,신당,승차,06시-07시,"Triangular(min=0.000, mode=501.000, max=543.680)",0.290221,0.0,208,실패
206,신당,승차,07시-08시,"Triangular(min=0.000, mode=1393.000, max=1457.379)",0.27984,0.0,208,실패
206,신당,승차,08시-09시,"Triangular(min=0.000, mode=2375.000, max=2375.000)",0.399615,0.0,208,실패
206,신당,승차,09시-10시,"Lognormal(normalMean=7.473, normalStdDev=0.049)",0.038891,0.927967,188,성공
206,신당,승차,10시-11시,"Weibull(shape=4.841, scale=213.634)",0.044462,0.922582,146,성공
206,신당,승차,11시-12시,"Weibull(shape=4.739, scale=172.432)",0.047269,0.867613,153,성공
